word,weight
account app,-0.13668968031084947
account ask,-0.01844561339997846
account automatically,-0.27503083205539525
account bad,-0.3968181892049252
account ban,0.6342842476715933
account block,-0.6143122229616912
account cause,-0.565518891738978
account change,-0.09869829383800657
account connect,0.036693388503232706
account create,-0.5651998397372052
account day,0.033123872322525685
account delete,-0.10637301677529132
account device,-0.08671631943174188
account different,-0.37558107311618955
account disable,-0.2089320980592622
account disabled,-0.625526315188348
account dropbox,-0.201426714225855
account email,-0.11301763007002075
account exist,-0.007377275143195514
account facebook,-0.24408972290547618
account family,-0.2694954421008927
account find,-0.07960506809647624
account fix,0.4120127543461313
account follow,-0.3446376041985137
account freeze,0.7424275919298855
account get,-1.3526367564554378
account getting,-0.035718564895167434
account go,-0.18452530792933233
account good,-0.37328223708097025
account google,-0.00782087110789198
account hack,-0.25778347331363277
account happen,-0.35575339790798843
account help,-0.5510657825199687
account important,0.280910290132118
account impossible,-0.2746136617448756
account issue,0.12465504958091882
account keep,0.1136470104121518
account ko,-0.5187378557245618
account let,0.03448889456353255
account like,-0.03854886390821781
account line,-0.3412957447440258
account link,-0.2621550805594597
account lock,-1.417542854593029
account log,0.2742251507292809
account login,-0.19499447443128448
account long,0.5284882715848719
account lose,-0.29083323566117264
account month,-0.27364946231173204
account need,0.6300587965120088
account new,-0.4544091787637968
account not,-1.318988788196639
account number,0.37937668637334954
account old,-0.5080881451264735
account open,-0.8291879093275532
account option,0.2669773895444897
account password,-0.049225994588524793
account pay,-0.11131911185055086
account people,0.6211313123705973
account permanently,0.41078184101810306
account phone,-0.41506165632527
account problem,-0.35111014076751224
account reason,-0.8525075270853182
account recover,-0.15065314640835967
account recovery,-0.6603313897752615
account restore,0.306793710567138
account restrict,0.25539499640954105
account review,0.6470889432713082
account right,0.022775833590996775
account say,0.006035906148237134
account send,0.10148472318005479
account show,-0.49559281660819365
account sign,-0.4732357514732446
account soon,0.3779059291766716
account start,-0.05501600490105822
account stop,-0.2261744829969278
account suddenly,-0.02051010952910061
account support,-0.16302965725741336
account suspend,-0.21149941710787337
account suspension,-0.05659905992482228
account take,-0.22404163334376265
account tell,-0.037502803629311306
